controller,density,avg_queue_length_mean,avg_queue_length_std,avg_waiting_time_mean,avg_waiting_time_std,throughput_mean,throughput_std,total_teleports_mean,total_teleports_std,peak_queue_mean,peak_queue_std,num_runs
fixed_time,light,0.5282,0.0,5.8322,0.0,1309.0,0.0,0.0,0.0,11.0,0.0,5
fixed_time,moderate,1.95045,0.0,21.5693,0.0,4044.0,0.0,0.0,0.0,30.0,0.0,5
fixed_time,heavy,24.76625,0.0,333.1807,0.0,12000.0,0.0,0.0,0.0,167.0,0.0,5
actuated,light,3.061012311901505,0.0,42.12558139534884,0.0,1309.0,0.0,0.0,0.0,10.0,0.0,5
actuated,moderate,27.13553852359822,3.552713678800501e-15,527.8832862713459,0.0,4044.0,0.0,0.0,0.0,55.0,0.0,5
actuated,heavy,61.34835130970724,0.0,1200.5061941448382,0.0,12000.0,0.0,0.0,0.0,160.0,0.0,5
ppo_multiagent,light,0.46836209506509235,0.0,7.284287011807448,0.0,1309.0,0.0,0.0,0.0,6.0,0.0,5
ppo_multiagent,moderate,1.7275204359673026,2.220446049250313e-16,27.369361186799882,3.552713678800501e-15,4044.0,0.0,0.0,0.0,20.0,0.0,5
ppo_multiagent,heavy,7.270593256508749,8.881784197001252e-16,141.0975956750605,0.0,12000.0,0.0,0.0,0.0,50.0,0.0,5
grpo,light,0.46042991220102947,0.005362782882345605,7.098698153194067,0.1327533173603586,1309.0,0.0,0.0,0.0,6.0,0.0,5
grpo,moderate,1.6870682602567872,0.03403118902868637,26.247385432949763,1.0394441345127579,4044.0,0.0,0.0,0.0,20.0,0.0,5
grpo,heavy,6.9193846540699955,0.056641920966121626,140.01150078670378,1.7371332948853377,12000.0,0.0,0.0,0.0,50.0,0.0,5
