episode,mean_return,group_std,mean_queue,mean_wait,throughput,mean_loss
1,17.0925,1.0938,2.23,35.94,357,-0.006906
2,17.1454,1.0543,2.23,36.51,362,-0.006897
3,19.8130,1.2180,2.32,38.77,401,-0.006890
4,17.0305,1.1186,2.26,37.03,353,-0.006883
5,18.8599,1.3094,2.30,38.11,385,-0.006871
6,18.6534,1.2262,2.39,39.36,388,-0.006865
7,17.8045,1.2083,2.45,41.00,376,-0.006853
8,18.0691,1.0328,2.16,35.41,371,-0.006842
9,18.2008,1.1473,2.31,37.77,363,-0.006831
10,18.0966,1.2282,2.49,41.78,378,-0.006815
11,18.8367,1.1046,2.37,39.28,378,-0.006801
12,19.4413,1.0897,2.28,37.44,387,-0.006793
13,16.9805,1.2204,2.48,41.88,359,-0.006781
14,18.8443,1.1646,2.19,35.14,379,-0.006772
15,18.5229,1.1189,2.25,37.47,372,-0.006764
16,16.9785,1.1761,2.27,37.58,366,-0.006762
17,16.3147,1.1842,2.40,39.75,351,-0.006753
18,17.4827,1.1703,2.34,39.95,357,-0.006746
19,17.3675,1.1497,2.27,38.25,349,-0.006741
20,17.5421,1.1964,2.34,39.19,371,-0.006738
21,17.7433,1.0364,2.14,34.99,366,-0.006734
22,16.3170,1.0981,2.34,38.86,358,-0.006728
23,17.7667,1.1022,2.12,34.34,375,-0.006724
24,18.9454,1.1661,2.20,36.19,376,-0.006718
25,19.1343,0.9942,2.15,35.36,379,-0.006711
26,17.7636,1.1168,2.27,38.28,366,-0.006712
27,18.3519,1.0434,2.13,35.09,368,-0.006704
28,17.4406,1.0888,2.22,36.95,359,-0.006701
29,19.5104,1.0863,2.25,37.01,391,-0.006695
30,17.7061,0.9435,1.97,32.19,374,-0.006701
31,20.2395,1.0617,2.09,33.99,401,-0.006693
32,16.3409,1.1186,2.24,37.30,326,-0.006698
33,18.8680,1.1288,2.25,37.19,391,-0.006693
34,18.1350,1.1269,2.20,35.92,361,-0.006694
35,17.5768,1.1202,2.18,35.37,377,-0.006692
36,15.0700,1.0610,2.19,35.75,347,-0.006687
37,18.2081,1.0887,2.17,36.57,354,-0.006687
38,16.8529,1.1097,2.14,36.03,355,-0.006686
39,15.5606,0.9793,2.03,32.31,337,-0.006681
40,17.9423,1.1180,2.17,35.57,358,-0.006676
41,17.4818,1.1524,2.24,36.58,364,-0.006682
42,16.6442,0.9817,2.13,36.63,357,-0.006671
43,18.1957,1.1177,2.16,35.58,383,-0.006666
44,17.4568,1.0205,2.15,35.95,352,-0.006663
45,18.9232,1.1051,2.25,38.21,377,-0.006656
46,19.3783,1.1624,2.22,37.58,390,-0.006656
47,18.0410,1.1919,2.27,39.86,364,-0.006666
48,17.1932,1.0111,2.09,34.44,371,-0.006663
49,19.2749,1.1581,2.21,36.32,381,-0.006663
50,17.5200,1.0758,2.13,35.77,357,-0.006657
51,19.3610,1.1429,2.25,37.65,379,-0.006663
52,16.5781,1.0851,2.22,36.97,339,-0.006658
53,18.5100,1.1307,2.27,38.51,366,-0.006659
54,15.7167,1.1489,2.30,38.56,344,-0.006652
55,16.8870,1.2270,2.22,39.02,356,-0.006642
56,18.6444,1.1451,2.20,37.39,383,-0.006654
57,16.7029,1.0283,2.12,35.31,366,-0.006650
58,17.5009,1.1680,2.36,39.24,349,-0.006653
59,16.8756,1.2632,2.24,36.68,362,-0.006650
60,17.8627,1.1858,2.27,37.75,373,-0.006643
61,16.8593,1.2713,2.49,41.83,339,-0.006638
62,15.8950,1.0159,2.16,35.45,340,-0.006636
63,15.8862,1.0946,2.16,36.22,335,-0.006636
64,19.9111,1.1811,2.20,35.68,375,-0.006629
65,17.6142,1.0467,2.14,36.10,387,-0.006626
66,19.7391,1.0817,2.20,35.80,379,-0.006626
67,16.4161,1.0951,2.23,37.48,349,-0.006628
68,20.0559,1.1430,2.20,35.93,389,-0.006632
69,16.7466,1.1077,2.12,34.40,345,-0.006632
70,17.2074,1.1946,2.43,40.44,354,-0.006636
71,16.9282,1.0231,2.19,35.73,359,-0.006630
72,17.3228,1.1162,2.19,35.97,340,-0.006630
73,17.3432,0.9804,2.15,34.72,380,-0.006621
74,17.8116,0.9926,2.11,34.77,364,-0.006621
75,17.6465,1.0631,2.12,35.36,366,-0.006623
76,19.0758,0.9913,2.14,34.87,411,-0.006623
77,18.0784,1.2360,2.34,38.99,371,-0.006635
78,18.8466,1.1906,2.36,40.33,363,-0.006635
79,18.7344,1.0618,2.28,38.17,369,-0.006636
80,17.1647,1.1249,2.27,37.71,350,-0.006644
81,17.7721,1.1811,2.32,39.18,375,-0.006644
82,18.2214,1.1818,2.25,38.61,381,-0.006654
83,18.5182,1.2109,2.28,37.49,382,-0.006656
84,15.9231,1.1837,2.38,39.56,340,-0.006661
85,17.7951,1.0432,2.16,36.10,364,-0.006664
86,18.3412,1.0750,2.08,33.63,378,-0.006667
87,17.8104,1.1440,2.26,36.51,365,-0.006669
88,18.0656,1.1568,2.19,35.67,371,-0.006673
89,19.4260,1.1172,2.19,35.48,385,-0.006677
90,15.9866,1.1874,2.37,39.93,335,-0.006678
91,17.8985,1.2249,2.22,35.79,370,-0.006684
92,16.1811,1.2532,2.42,41.00,358,-0.006689
93,16.3244,1.2248,2.44,40.99,349,-0.006695
94,19.2926,1.1061,2.24,37.02,376,-0.006701
95,17.2229,1.1672,2.24,36.83,365,-0.006705
96,18.4574,1.1368,2.31,37.76,375,-0.006715
