episode,density,mean_return,group_std,mean_queue,mean_wait,throughput,mean_loss,mean_vf_loss,entropy_coef,lr
0,light,-4.3323,0.5674,0.4687,7.1970,90,-0.036065,0.963490,0.050000,3.00e-04
1,light,-4.4549,0.3027,0.4644,7.0103,84,-0.038611,0.911737,0.049996,3.00e-04
2,heavy,-6.7808,5.3393,7.0454,131.7087,418,-0.035272,0.652825,0.049992,3.00e-04
3,moderate,-3.2725,1.8335,2.1649,35.5293,179,-0.034689,0.494656,0.049989,3.00e-04
4,moderate,-3.3380,2.0325,2.4507,41.2752,179,-0.035295,0.292892,0.049985,3.00e-04
5,moderate,-2.9717,2.1460,2.2352,36.6340,170,-0.032437,0.263637,0.049981,3.00e-04
6,light,-2.1790,1.1016,0.4293,6.3060,81,-0.029044,0.565988,0.049977,3.00e-04
7,moderate,-2.2104,2.3158,2.1054,35.6577,179,-0.028754,0.345203,0.049974,3.00e-04
8,light,-1.9889,1.3871,0.4590,6.9772,77,-0.025811,0.400131,0.049970,3.00e-04
9,light,-1.3674,1.4947,0.4782,7.4207,82,-0.023759,0.314583,0.049966,3.00e-04
10,heavy,-4.6531,6.6459,7.0583,136.6769,426,-0.020600,0.879879,0.049962,3.00e-04
11,light,-1.2892,1.6192,0.4602,6.9308,82,-0.022137,0.420951,0.049959,3.00e-04
12,moderate,-1.5852,2.7185,2.2944,40.9949,182,-0.019154,0.238391,0.049955,3.00e-04
13,moderate,-1.5395,2.4664,2.1387,37.0084,181,-0.021958,0.200185,0.049951,3.00e-04
14,light,-1.2971,1.5448,0.4804,7.2408,73,-0.020025,0.355939,0.049947,3.00e-04
15,light,-0.7207,1.3197,0.4791,7.5984,82,-0.019044,0.168489,0.049944,3.00e-04
16,heavy,-4.5417,6.2353,7.2624,138.1584,430,-0.016559,1.242620,0.049940,3.00e-04
17,light,-1.1534,1.6381,0.4879,7.6765,79,-0.016898,0.480037,0.049936,3.00e-04
18,moderate,-1.1393,2.4347,2.1238,35.4992,198,-0.018210,0.194166,0.049932,3.00e-04
19,heavy,-4.9947,6.4371,7.4101,139.4558,417,-0.019155,0.646496,0.049929,3.00e-04
20,heavy,-4.2503,6.3988,7.2616,137.3369,426,-0.017302,0.351471,0.049925,3.00e-04
21,heavy,-4.7453,6.5864,7.2459,135.2315,433,-0.014977,0.293596,0.049921,3.00e-04
22,light,-0.7759,1.3174,0.4305,6.2240,97,-0.015660,0.666786,0.049917,3.00e-04
23,light,-0.7633,1.9122,0.4939,7.6560,100,-0.015862,0.363904,0.049914,3.00e-04
24,heavy,-4.5388,6.2172,7.2932,137.6292,407,-0.017968,0.547402,0.049910,3.00e-04
25,heavy,-4.6596,6.3729,7.2650,139.0954,428,-0.019145,0.399503,0.049906,3.00e-04
26,heavy,-4.7070,5.9431,7.1525,136.2821,437,-0.019428,0.291859,0.049902,3.00e-04
27,moderate,-1.6111,1.9550,2.2796,38.5099,180,-0.022605,0.529300,0.049899,3.00e-04
28,moderate,-1.7971,1.9431,2.3301,39.8079,185,-0.023121,0.264724,0.049895,3.00e-04
