episode,density,mean_return,group_std,mean_queue,mean_wait,throughput,mean_loss,mean_vf_loss,entropy_coef,lr
0,heavy,-7.7274,5.3860,7.0574,131.2338,402,-0.034887,0.885611,0.050000,3.00e-04
1,heavy,-7.3505,4.9097,6.9153,127.1449,445,-0.034935,0.684173,0.049992,3.00e-04
2,moderate,-4.5661,1.2160,2.2680,37.5080,162,-0.035093,0.642261,0.049985,3.00e-04
3,heavy,-7.4640,5.4220,7.0839,129.8951,415,-0.034794,0.530019,0.049977,3.00e-04
4,light,-3.4205,0.6722,0.4396,6.5063,85,-0.035862,0.907758,0.049970,3.00e-04
5,light,-3.6746,0.9858,0.4645,6.9709,83,-0.035362,0.734856,0.049962,3.00e-04
6,light,-3.0203,1.1595,0.4505,6.8016,87,-0.034040,0.596333,0.049955,3.00e-04
7,moderate,-2.7162,2.3337,2.2261,36.5634,184,-0.031250,0.388307,0.049947,3.00e-04
8,moderate,-2.3353,2.6617,2.4587,41.4680,181,-0.028573,0.317508,0.049940,3.00e-04
9,light,-1.5942,0.9863,0.4228,6.2402,80,-0.026761,0.733729,0.049932,3.00e-04
10,light,-1.6705,1.0529,0.4761,7.8525,77,-0.025908,0.873933,0.049925,3.00e-04
11,light,-1.5896,0.8716,0.4932,8.2906,81,-0.024655,0.793470,0.049917,3.00e-04
12,moderate,-1.4302,1.3854,1.9069,34.1634,183,-0.025369,0.448598,0.049910,3.00e-04
13,heavy,-5.0599,5.3317,7.3811,153.4158,393,-0.026448,1.258921,0.049902,3.00e-04
14,heavy,-5.1123,5.6018,7.5249,159.0267,400,-0.026257,0.880530,0.049895,3.00e-04
15,heavy,-5.2234,5.5820,7.3152,151.8309,420,-0.028038,0.543625,0.049887,3.00e-04
16,light,-1.9489,1.0784,0.4971,8.1090,79,-0.027631,1.152913,0.049880,3.00e-04
17,light,-1.8196,1.1843,0.4539,7.1775,86,-0.027246,0.764089,0.049872,3.00e-04
18,heavy,-5.5345,6.0039,7.3034,141.3976,405,-0.025637,0.575297,0.049865,3.00e-04
19,light,-1.6346,1.0541,0.4964,8.3497,74,-0.025252,0.705987,0.049857,3.00e-04
20,light,-1.5672,0.8811,0.4614,7.3774,78,-0.023860,0.599018,0.049850,3.00e-04
21,heavy,-5.0857,5.6976,7.2330,146.0701,425,-0.022592,0.646774,0.049842,3.00e-04
22,heavy,-5.1089,5.6623,7.3033,147.5304,385,-0.024583,0.525571,0.049835,3.00e-04
23,moderate,-1.6110,1.6771,2.2025,39.5099,188,-0.023934,0.426144,0.049827,3.00e-04
24,moderate,-1.7170,1.8660,2.2066,37.0945,184,-0.024218,0.298831,0.049820,3.00e-04
25,light,-1.3728,1.0257,0.4557,7.2630,88,-0.023381,0.688995,0.049812,3.00e-04
26,moderate,-1.5047,1.8112,2.2832,39.9139,189,-0.021928,0.300942,0.049805,3.00e-04
27,moderate,-1.7464,1.7492,2.3202,42.0131,175,-0.024062,0.246889,0.049797,3.00e-04
28,light,-1.8095,1.2279,0.4772,7.6427,81,-0.023846,0.669243,0.049790,3.00e-04
29,heavy,-5.0387,6.3241,7.1980,136.9591,429,-0.023798,0.651604,0.049782,3.00e-04
30,light,-1.4753,1.2357,0.4676,7.2609,90,-0.023284,0.538151,0.049775,3.00e-04
31,light,-1.6469,1.1395,0.4420,6.8009,82,-0.025182,0.520500,0.049767,3.00e-04
32,heavy,-4.8049,5.9989,6.9723,140.5783,415,-0.022538,0.668439,0.049760,3.00e-04
33,light,-1.4984,1.1695,0.4728,7.1674,85,-0.022985,0.544846,0.049752,3.00e-04
34,moderate,-1.1610,1.6697,2.0635,34.8395,183,-0.023455,0.436504,0.049745,3.00e-04
35,light,-1.3410,1.2328,0.4584,7.1190,70,-0.021209,0.694167,0.049737,3.00e-04
36,light,-1.0629,1.1484,0.4554,6.8276,85,-0.019834,0.551661,0.049730,3.00e-04
37,moderate,-1.4116,1.9327,2.2355,38.6016,177,-0.020538,0.368867,0.049722,3.00e-04
38,heavy,-4.5655,5.7541,7.1897,142.6042,397,-0.019738,0.663928,0.049715,3.00e-04
39,light,-1.0341,1.0296,0.4559,7.0375,75,-0.020535,0.591593,0.049707,3.00e-04
40,heavy,-4.3474,5.5179,7.2073,143.0006,439,-0.020911,0.495758,0.049700,3.00e-04
41,moderate,-1.5121,1.8163,2.3256,42.0012,170,-0.021465,0.488374,0.049692,3.00e-04
42,heavy,-4.9245,5.6167,7.0315,139.5492,407,-0.022820,0.396820,0.049685,3.00e-04
43,light,-1.5485,1.3612,0.5044,8.3252,73,-0.022786,0.660424,0.049677,3.00e-04
44,moderate,-1.8854,2.0243,2.3521,39.6105,173,-0.023518,0.333793,0.049670,3.00e-04
45,light,-1.6696,1.5232,0.4656,7.2080,73,-0.023115,0.500786,0.049662,3.00e-04
46,moderate,-1.5871,2.0037,2.2778,39.1351,180,-0.020742,0.295763,0.049655,3.00e-04
47,light,-1.1310,1.1684,0.4807,7.5309,68,-0.019403,0.365928,0.049647,3.00e-04
48,moderate,-1.1012,1.7534,1.9943,32.9825,175,-0.018957,0.319215,0.049640,3.00e-04
49,light,-0.5767,0.7457,0.4768,7.6918,76,-0.016709,0.277607,0.049632,3.00e-04
50,moderate,-0.7945,1.5379,2.1751,38.0568,158,-0.015177,0.381490,0.049625,3.00e-04
51,moderate,-0.4985,1.6871,2.2343,39.4553,173,-0.015657,0.295338,0.049617,3.00e-04
52,moderate,-0.5662,1.6024,2.3701,42.8808,178,-0.014582,0.201137,0.049610,3.00e-04
53,heavy,-4.3234,5.7200,7.3212,144.5610,409,-0.017665,0.561265,0.049602,3.00e-04
54,heavy,-4.2344,5.5853,7.2377,155.5314,427,-0.017882,0.412940,0.049595,3.00e-04
