#{"t_start": 1777633440.071811, "env_id": "None"}
r,l,t
-25.76,768,43.702093
-24.76,768,84.90716
-27.66,768,128.136596
-13.86,367,133.902335
-26.66,768,169.165203
-11.86,367,176.259799
-13.06,367,185.516926
-13.04,367,191.477509
-13.04,367,196.945101
-18.86,768,238.600105
-9.16,367,245.567271
-13.54,367,251.777574
-19.86,768,291.581636
-17.16,768,324.603199
-13.76,768,363.609966
-12.06,768,398.959448
-10.44,367,404.602993
-11.76,768,438.220676
-11.06,768,468.809571
-5.56,367,473.165896
-5.46,367,476.97116
-8.54,367,482.553897
-8.46,768,514.069968
-5.66,768,546.84508
-5.36,768,579.00193
-5.66,768,610.710474
-6.74,367,615.001485
-3.76,768,650.278216
-2.96,768,685.5295
-3.76,768,719.618609
-5.24,367,724.850115
-2.06,367,731.235737
-5.44,367,735.870152
-1.66,367,742.341591
-2.06,367,748.745219
-4.54,367,754.268452
-4.04,367,762.612671
-4.24,367,767.998887
-2.84,367,774.073798
-3.84,367,779.774115
-3.94,367,784.444411
-3.84,367,790.289163
-0.56,367,796.116935
0.84,768,830.561474
-0.36,768,869.583197
-2.64,367,886.324975
2.14,768,931.452801
-0.26,367,945.33685
-2.14,367,957.345228
-2.74,367,969.322225
-2.24,367,981.345851
2.64,768,1026.035553
-2.84,367,1037.393939
-2.94,367,1049.418803
-1.54,367,1066.187896
5.34,768,1110.858302
3.84,768,5608.603229
4.04,768,5629.766808
1.24,367,5633.153535
5.34,768,5652.582571
-2.44,367,5657.195583
3.24,367,5661.007658
2.84,367,5663.904837
2.84,367,5667.409585
-1.54,367,5670.148266
-1.34,367,5672.771167
2.84,367,5676.550823
2.54,367,5680.084864
5.94,768,5696.04741
7.04,768,5713.68512
0.36,367,5716.390601
-0.54,367,5719.221253
3.14,367,5722.489413
-0.24,367,5725.424104
0.16,367,5728.849512
-0.74,367,5732.546434
8.34,768,5751.58887
3.84,367,5755.549949
4.24,367,5758.730676
9.14,768,5779.652307
3.94,367,5783.524766
3.34,367,5787.415305
8.34,768,5806.1079
3.74,367,5809.827349
8.74,768,5829.148752
8.94,768,5848.690213
0.36,367,5853.271446
9.44,768,5872.937209
4.44,367,5876.741931
4.44,367,5880.631908
0.16,367,5884.162203
0.86,367,5887.700763
4.54,367,5891.46681
10.84,768,5910.912966
9.34,768,5931.57875
10.94,768,5951.209692
0.56,367,5954.651143
10.24,768,5972.729346
4.14,367,5976.065234
0.76,367,5979.603621
4.54,367,5982.921967
5.04,367,5986.117679
4.74,367,5989.453689
4.04,367,5994.415452
4.84,367,5996.942321
1.16,367,5999.318413
10.84,768,6017.522918
10.64,768,6035.563936
0.96,367,6039.078376
4.74,367,6042.774537
1.16,367,6046.299465
4.74,367,6049.701097
11.14,768,6070.568754
11.24,768,6090.520235
10.74,768,6108.391493
11.24,768,6126.908976
4.94,367,6130.32007
1.76,367,6133.625933
4.84,367,6137.398217
11.54,768,6157.038421
1.26,367,6160.753428
5.34,367,6164.48085
1.36,367,6167.828542
5.44,367,6171.700301
11.64,768,6190.911724
4.94,367,6194.469246
10.84,768,6211.630472
4.94,367,6217.08371
1.36,367,6220.703732
1.56,367,6223.611178
11.44,768,6242.622562
1.56,367,6245.7007
11.54,768,6262.408965
5.34,367,6266.282844
5.24,367,6269.791197
4.94,367,6273.531716
1.56,367,6278.795281
12.04,768,6298.115279
5.44,367,6301.818702
11.74,768,6319.19174
5.54,367,6322.937865
5.44,367,6326.757043
4.64,367,6330.311802
5.24,367,6333.976512
11.44,768,6354.240323
1.76,367,6357.749239
5.34,367,6360.358727
1.76,367,6362.615903
5.64,367,6365.197405
5.34,367,6368.544789
5.24,367,6372.265647
5.54,367,6375.998756
12.24,768,6394.480408
5.14,367,6398.167648
1.76,367,6403.288216
12.04,768,6420.643143
1.86,367,6423.676977
12.04,768,6440.903007
2.16,367,6443.674725
5.44,367,6447.468391
12.14,768,6464.900941
11.74,768,6485.039051
1.86,367,6488.533229
5.44,367,6492.472281
5.54,367,6496.217293
11.74,768,6514.858653
2.06,367,6518.435156
1.76,367,6521.978135
5.34,367,6525.856953
12.14,768,6545.75375
12.04,768,6563.142218
12.04,768,6581.71288
5.34,367,6585.498904
12.14,768,6605.632029
2.06,367,6609.185736
1.86,367,6612.622025
2.06,367,6616.21166
2.16,367,6621.278586
5.44,367,6624.950346
12.24,768,6642.84759
2.06,367,6646.462772
12.14,768,6664.099931
5.14,367,6666.880055
2.06,367,6669.533601
12.44,768,6686.565288
1.96,367,6690.694911
5.64,367,6694.491411
11.94,768,6713.584853
5.54,367,6717.348343
12.14,768,6736.232611
5.54,367,6739.963809
12.44,768,6759.781512
5.64,367,6763.556543
2.06,367,6768.700347
5.54,367,6772.394449
12.44,768,6792.40333
12.44,768,6811.786391
12.14,768,6831.523094
5.34,367,6835.305385
12.34,768,6852.865575
5.54,367,6857.889095
12.14,768,6876.817995
12.34,768,6894.680634
2.16,367,6898.13239
5.34,367,6901.877038
5.34,367,6904.605909
12.14,768,6923.051531
12.44,768,6944.00268
1.96,367,6947.458002
2.16,367,6950.913939
12.54,768,6970.538449
2.16,367,6974.092997
5.64,367,6977.831802
12.54,768,6997.019952
12.54,768,7016.282748
12.14,768,7034.21552
12.34,768,7052.874496
12.54,768,7071.291445
12.44,768,7086.875157
2.16,367,7089.463629
2.16,367,7091.646772
12.54,768,7110.641782
2.16,367,7112.833312
2.16,367,7115.083446
12.54,768,7131.098425
12.44,768,7149.419203
2.16,367,7152.946252
5.64,367,7156.280764
5.64,367,7159.169373
12.24,768,7175.817314
2.16,367,7178.468212
5.64,367,7180.854233
2.16,367,7183.743856
12.24,768,7198.9153
2.06,367,7202.44802
2.16,367,7205.980298
5.64,367,7209.880739
2.16,367,7213.531574
5.64,367,7219.082367
12.54,768,7236.563341
5.64,367,7240.372793
5.64,367,7244.136247
12.54,768,7262.7473
12.54,768,7280.679127
5.64,367,7283.633514
2.16,367,7286.139456
11.24,768,7303.970808
1.76,367,7306.284596
2.16,367,7308.524775
5.34,367,7311.040426
1.66,367,7314.746794
5.44,367,7318.424638
2.06,367,7321.906613
1.86,367,7325.492122
4.94,367,7328.173588
2.16,367,7330.787414
5.64,367,7334.988585
4.84,367,7338.61422
5.44,367,7342.210359
5.64,367,7345.477047
5.04,367,7349.200655
1.86,367,7352.517212
2.16,367,7356.057774
5.64,367,7359.772899
5.44,367,7363.581428
5.64,367,7367.289169
5.64,367,7371.011011
4.74,367,7376.106641
11.64,768,7392.831516
11.64,768,7409.711227
12.34,768,7426.916615
1.96,367,7430.509567
2.16,367,7434.118591
1.86,367,7437.678962
5.44,367,7441.465084
12.04,768,7460.890154
12.54,768,7478.018049
11.54,768,7494.850053
5.44,367,7498.257519
12.54,768,7516.116907
5.64,367,7519.846389
5.64,367,7523.572587
12.54,768,7542.936687
2.16,367,7546.486204
5.64,367,7550.23737
12.34,768,7566.179867
12.34,768,7585.051487
2.16,367,7588.512073
5.64,367,7592.357025
12.34,768,7612.957981
2.16,367,7616.401728
5.44,367,7620.223228
5.64,367,7624.181592
12.14,768,7643.4229
5.64,367,7647.109183
2.16,367,7649.993728
1.96,367,7652.333133
12.34,768,7670.617958
2.16,367,7675.928359
2.16,367,7679.54268
12.54,768,7698.265899
5.64,367,7701.894037
2.16,367,7704.253858
12.54,768,7722.773105
5.64,367,7726.497332
5.04,367,7730.23806
5.64,367,7734.145741
2.16,367,7739.227026
12.14,768,7756.866389
12.54,768,7774.036073
5.64,367,7777.523632
12.34,768,7795.841346
5.64,367,7799.556964
12.54,768,7821.079193
12.54,768,7841.215061
5.64,367,7845.048207
12.24,768,7866.270678
2.16,367,7869.968351
5.64,367,7873.764299
2.16,367,7877.491515
5.64,367,7882.756109
12.54,768,7915.196271
12.54,768,7944.5361
2.16,367,7948.919272
12.54,768,7987.457467
1.96,367,7992.615917
12.54,768,8026.983024
2.16,367,8031.225257
5.44,367,8035.261577
2.16,367,8040.078143
2.16,367,8043.344718
5.64,367,8048.011613
12.54,768,8076.863843
12.54,768,8101.105485
5.64,367,8105.470856
2.16,367,8109.474546
12.34,768,8132.606555
12.54,768,8166.45895
2.16,367,8170.10749
12.24,768,8194.93175
12.54,768,8219.825388
2.16,367,8223.551609
5.64,367,8228.346606
2.16,367,8233.2877
2.16,367,8239.274645
5.64,367,8245.192715
2.16,367,8248.268313
12.54,768,8283.68172
12.54,768,8308.715838
5.64,367,8311.971599
2.16,367,8315.551805
12.54,768,8339.378166
2.16,367,8343.42488
12.54,768,8370.312167
2.16,367,8374.498221
2.16,367,8379.890482
12.34,768,8422.305778
2.16,367,8429.443235
12.54,768,8463.353156
12.54,768,8491.495341
5.64,367,8497.459626
12.54,768,8525.856724
5.64,367,8530.016023
5.44,367,8534.279091
12.54,768,8560.575595
2.16,367,8564.511677
12.54,768,8593.875022
2.16,367,8597.228905
5.64,367,8605.220225
5.64,367,8608.971843
2.16,367,8612.774552
5.44,367,8617.381875
5.44,367,8622.195729
5.64,367,8626.511288
5.64,367,8630.604172
2.16,367,8634.721643
5.64,367,8638.873749
1.96,367,8643.032489
2.16,367,8646.356388
5.44,367,8653.273616
1.96,367,8656.879161
5.64,367,8660.886086
5.64,367,8665.127213
5.64,367,8669.649321
2.16,367,8673.252018
12.34,768,8701.403591
12.14,768,8731.843195
5.64,367,8735.085244
5.64,367,8740.59311
1.96,367,8744.261967
2.16,367,8747.25385
12.34,768,8779.172692
2.16,367,8783.113334
5.64,367,8788.107568
12.14,768,8813.186847
5.64,367,8816.933024
2.16,367,8819.929666
12.34,768,8847.524932
5.54,367,8851.440406
5.44,367,8855.460574
12.14,768,8880.630182
12.44,768,8906.724982
12.24,768,8929.154235
12.24,768,8953.746601
5.54,367,8957.805285
5.54,367,8960.666641
5.44,367,8964.72495
2.16,367,8968.690847
2.06,367,8972.373914
2.16,367,8974.773482
2.06,367,8978.536364
12.34,768,9007.308655
2.06,367,9013.744208
12.54,768,9049.205646
5.54,367,9053.900091
5.64,367,9058.73432
5.44,367,9063.499407
5.44,367,9068.525027
5.64,367,9072.930677
5.64,367,9077.62808
12.54,768,9105.817628
12.24,768,9133.140258
1.96,367,9137.005026
5.44,367,9141.599623
2.16,367,9145.504522
12.34,768,9170.194856
1.96,367,9173.932848
1.96,367,9176.978748
12.24,768,9202.169266
5.64,367,9207.718733
2.16,367,9210.839561
2.16,367,9214.590862
2.16,367,9218.793093
5.24,367,9222.958688
2.16,367,9226.177032
1.96,367,9229.148032
5.44,367,9233.30374
4.94,367,9237.987768
12.04,768,9270.284874
11.94,768,9305.798474
2.16,367,9309.675524
2.06,367,9313.793982
5.64,367,9318.464731
5.34,367,9323.59387
12.34,768,9344.356077
12.14,768,9381.67327
2.06,367,9385.347078
11.84,768,9410.214666
5.14,367,9413.574269
1.66,367,9416.122895
3.84,367,9418.742887
5.34,367,9421.691788
12.24,768,9441.869941
12.24,768,9461.996669
5.24,367,9466.142321
5.64,367,9472.731616
5.34,367,9477.432611
1.86,367,9480.984629
5.64,367,9485.622756
5.14,367,9490.312719
10.24,768,9525.618842
1.86,367,9529.578216
2.16,367,9532.856074
11.24,768,9556.481384
5.64,367,9561.955278
2.16,367,9565.273805
5.64,367,9569.541988
11.84,768,9591.027036
1.66,367,9594.964885
2.16,367,9598.883754
5.44,367,9603.064623
11.84,768,9625.42289
5.64,367,9628.32528
11.54,768,9656.534441
1.66,367,9660.431437
12.34,768,9688.838918
5.64,367,9693.226615
12.34,768,9718.763516
5.64,367,9722.734867
4.94,367,9726.798466
1.66,367,9730.791076
5.64,367,9736.335223
1.76,367,9740.117599
12.24,768,9764.074749
11.34,768,9789.578287
5.24,367,9793.720135
12.54,768,9817.926994
11.14,768,9842.163796
12.04,768,9868.276812
2.16,367,9872.090314
11.84,768,9896.438478
12.54,768,9922.85897
2.16,367,9926.10759
12.54,768,9950.664758
5.64,367,9954.668516
5.64,367,9960.762036
1.76,367,9964.604944
12.44,768,9987.237544
5.64,367,9992.417815
5.64,367,9994.99688
12.24,768,10019.963442
1.76,367,10023.950252
5.64,367,10028.210939
2.16,367,10032.000255
11.64,768,10063.440061
2.16,367,10068.016904
12.54,768,10093.07842
2.16,367,10097.337949
2.16,367,10101.469508
5.64,367,10106.771815
5.44,367,10111.978531
12.54,768,10142.354231
5.64,367,10146.918208
2.16,367,10150.952148
5.04,367,10154.625075
5.64,367,10159.496224
5.64,367,10164.384056
2.16,367,10168.537382
2.16,367,10172.430809
5.34,367,10176.67439
2.16,367,10180.676657
12.54,768,10206.954747
12.54,768,10230.129678
2.16,367,10233.368663
12.34,768,10256.98277
2.16,367,10260.879437
12.54,768,10285.544683
5.64,367,10289.357997
12.34,768,10316.858959
5.64,367,10321.197006
2.16,367,10324.933479
12.54,768,10349.670292
2.16,367,10353.232099
12.54,768,10376.164403
2.16,367,10379.878377
12.54,768,10404.644668
12.54,768,10432.559455
5.64,367,10436.654633
5.64,367,10439.978272
5.64,367,10443.862494
2.16,367,10447.611728
2.16,367,10451.342345
12.54,768,10477.032349
2.16,367,10480.783773
5.64,367,10484.809964
1.56,367,10490.115878
5.04,367,10493.399168
0.16,367,10497.057013
1.06,367,10500.824625
8.94,768,10524.567713
1.86,367,10527.982403
4.14,367,10531.835335
3.24,367,10536.297711
9.64,768,10561.830911
10.44,768,10588.033565
10.04,768,10609.838261
0.16,367,10613.461144
10.24,768,10636.664224
4.54,367,10640.674767
1.36,367,10644.318892
4.34,367,10648.042146
5.64,367,10651.167094
11.64,768,10678.120969
4.94,367,10682.27405
1.36,367,10686.157839
5.24,367,10690.117808
12.24,768,10711.893972
0.56,367,10714.707199
10.14,768,10736.64817
1.86,367,10740.452352
5.24,367,10746.687215
11.64,768,10770.104049
11.34,768,10792.668782
1.66,367,10795.265426
10.94,768,10818.141199
11.44,768,10840.186211
5.14,367,10843.049645
5.64,367,10848.655049
5.24,367,10853.043092
2.06,367,10856.112373
10.94,768,10878.980472
1.76,367,10882.346114
5.14,367,10885.737984
10.14,768,10914.674334
1.56,367,10918.790963
12.14,768,10951.471939
2.16,367,10955.170008
1.56,367,10958.886675
5.34,367,10963.090576
1.46,367,10967.140302
1.26,367,10971.033819
5.64,367,10975.192102
11.34,768,10999.810323
11.24,768,11022.089502
12.54,768,11046.902378
5.64,367,11050.811087
2.16,367,11054.468722
1.86,367,11057.445693
5.04,367,11060.330227
5.64,367,11064.503111
1.66,367,11068.539412
12.34,768,11099.435766
1.66,367,11105.401561
5.64,367,11109.867678
2.16,367,11112.826195
5.44,367,11117.33092
5.54,367,11120.845014
11.84,768,11143.70598
5.14,367,11147.54807
1.96,367,11150.902381
1.76,367,11153.660491
2.16,367,11156.90187
2.16,367,11160.559555
5.64,367,11166.396585
12.34,768,11191.034813
5.64,367,11194.928169
2.16,367,11198.029154
11.94,768,11222.969245
5.44,367,11225.757927
12.04,768,11249.272691
12.54,768,11274.036478
12.34,768,11299.53552
5.44,367,11304.859166
12.54,768,11328.207839
