#{"t_start": 1776373617.1096044, "env_id": "None"}
r,l,t
-633.6,367,3.761835
-193.7,367,7.534189
-620.7,367,10.853236
-5254.2,778,29.475508
-190.9,367,34.47781
-5226.8,766,52.537022
-617.8,367,56.615989
-623.2,367,60.409434
-622.6,367,64.604542
-5311.3,782,85.399199
-197.8,367,88.887847
-196.5,367,91.960742
-5258.5,771,112.466007
-197.0,367,115.455882
-5220.2,766,134.55916
-618.3,367,137.888511
-5214.8,772,158.114001
-193.1,367,161.644948
-5236.0,767,181.214374
-195.1,370,183.951333
-613.8,368,188.61008
-621.0,368,192.259772
-626.4,367,194.999125
-621.5,369,198.534216
-5202.4,772,218.225013
-5245.9,773,235.147954
-631.2,367,239.261939
-198.9,367,242.240626
-618.4,367,244.891358
-5276.0,778,264.034633
-197.0,367,267.04514
-196.1,367,270.444278
-5242.9,770,291.370517
-631.1,367,295.171969
-624.1,367,298.044367
-195.1,367,300.663051
-632.9,367,304.463118
-5257.7,772,324.760088
-627.7,370,328.8387
-190.6,367,331.604964
-626.6,367,334.40284
-613.2,367,337.076466
-196.8,367,341.185368
-5246.2,768,359.699987
-5218.7,766,378.963999
-196.3,367,383.196975
-203.5,367,386.922802
-197.4,367,389.691698
-199.9,367,392.226056
-623.9,367,394.834796
-627.7,367,398.938122
-5225.9,772,418.624863
-616.5,367,421.54908
-5199.5,772,439.960088
-5220.2,772,460.846685
-193.8,367,464.429935
-615.0,367,468.515232
-5217.0,772,487.832135
-190.5,367,492.60657
-630.0,367,496.030861
-5196.1,767,515.518928
-5176.7,767,534.938426
-188.6,368,538.17952
-5249.4,773,556.891088
-5229.9,773,576.99511
-188.9,367,581.126134
-192.8,367,583.797798
-5204.3,770,603.491697
-623.4,367,606.243106
-192.3,367,610.991389
-626.8,367,613.806178
-5155.1,773,632.218709
-190.1,367,635.61008
-189.2,367,640.421685
-5173.8,773,661.165553
-5188.0,770,680.829086
-5226.6,770,700.412772
-616.6,367,703.870118
-5139.7,767,722.579865
-5145.0,767,744.15905
-188.5,367,747.958468
-618.2,367,750.776734
-5209.0,765,769.804803
-5245.4,777,790.174443
-624.0,367,792.926796
-188.9,367,795.312617
-5290.9,791,814.946215
-5141.2,766,835.925032
-5110.5,766,853.957766
-189.7,367,856.850135
-623.2,369,861.817047
-5209.0,769,879.952491
-190.3,367,882.425921
-624.1,367,886.447121
-619.5,368,889.209611
-611.3,367,893.562739
-608.7,370,896.852562
-5201.9,771,913.756169
-181.0,367,916.37096
-612.8,367,920.812639
-614.0,367,924.413293
-185.9,367,927.070297
-613.6,367,929.673794
-5171.9,766,948.421598
-182.2,367,952.309474
-5184.9,772,971.807617
-183.4,367,975.69203
-187.4,367,978.311977
-190.9,367,982.523567
-5148.6,772,1001.798367
-615.6,367,1005.27983
-184.6,367,1007.856382
-185.6,367,1010.21193
-601.4,367,1015.236496
-5200.5,772,1035.000863
-620.8,367,1038.092954
-614.6,367,1041.358745
-5156.2,767,1062.967218
-608.1,367,1066.455376
-193.3,367,1069.099637
-5178.5,767,1088.551587
-187.3,367,1093.814562
-5162.6,767,1111.693624
-187.5,367,1114.098578
-618.3,367,1116.74597
-5115.3,767,1136.951498
-191.4,367,1140.674442
-5126.5,766,1159.897386
-616.7,367,1162.62123
-191.6,367,1167.290179
-625.5,367,1169.76895
-5176.6,767,1186.287039
-193.4,371,1188.706098
-188.8,367,1193.178543
-624.5,367,1195.693892
-632.6,367,1198.245494
-632.0,367,1200.729641
-189.4,367,1203.128748
-194.7,367,1205.511801
-620.2,369,1210.149502
-5151.4,767,1229.287024
-193.5,367,1232.10748
-194.2,367,1234.49174
-5212.7,768,1253.837374
-631.2,367,1256.495223
-624.6,367,1259.91067
-5178.2,767,1278.20389
-619.0,367,1281.371729
-623.4,367,1285.428737
-197.3,367,1288.458496
-193.8,367,1291.336331
-197.9,367,1295.075675
-5179.0,767,1316.660443
-629.5,369,1319.701638
-623.7,367,1322.487169
-622.8,367,1326.018651
-5161.5,767,1346.709008
-629.5,369,1349.666341
-5134.0,772,1368.189533
-5133.3,767,1387.093274
-197.8,367,1389.577763
-5151.3,766,1408.816709
-623.9,367,1412.398408
-200.8,367,1416.321551
-628.5,367,1420.165138
-5176.0,772,1440.249751
-5153.6,767,1459.93429
-624.2,367,1464.224121
-197.8,367,1467.096531
-194.1,367,1470.963865
-620.0,367,1474.649993
-196.5,367,1478.130528
-5158.8,766,1496.983492
-5157.2,766,1514.218569
-5155.9,767,1532.463612
-624.5,367,1538.340094
-616.7,370,1541.709008
-190.2,367,1544.289262
-623.0,371,1547.09427
-194.9,367,1549.718968
-627.1,367,1555.215792
-5126.6,766,1574.309862
-190.2,367,1578.082879
-5178.0,766,1595.871962
-192.1,367,1600.525016
-188.1,367,1603.45074
-189.9,367,1605.830397
-189.4,367,1608.302796
-5113.4,772,1627.270119
-613.5,367,1629.932492
-5050.0,766,1647.400787
-621.8,367,1650.728783
-184.2,367,1653.660794
-5160.2,772,1673.330322
-5103.6,767,1692.818016
-190.8,367,1695.835315
-5067.5,767,1715.582827
-5077.8,772,1733.611475
-613.8,367,1737.408643
-5044.6,773,1756.651416
-5086.8,767,1775.963194
-5097.0,766,1795.488012
-5025.9,766,1815.185056
-189.3,367,1817.644453
-5100.1,772,1835.20741
-189.7,367,1839.436004
-623.8,367,1842.601749
-625.7,367,1846.076386
-616.8,367,1849.247609
-194.5,367,1851.823494
-5149.8,772,1871.123546
-191.5,367,1873.761532
-195.2,367,1876.597071
-186.6,367,1879.05883
-197.0,367,1882.147972
-614.7,367,1886.760406
-186.5,367,1889.342265
-5187.5,768,1908.99768
-5128.8,773,1929.203298
-190.8,367,1932.057721
-192.4,367,1935.702368
-193.0,367,1938.303295
-617.0,368,1941.792896
-616.7,367,1944.433992
-620.9,367,1949.235641
-620.4,367,1952.43631
-5012.5,766,1968.534712
-190.6,367,1971.056215
-617.5,367,1973.750646
-612.7,367,1979.038226
-5023.4,772,1998.386775
-620.9,367,2001.811975
-5079.7,772,2022.238382
-5079.4,773,2041.196279
-190.7,367,2044.2268
-618.6,367,2046.71893
-606.8,367,2051.059327
-5073.0,773,2068.680242
-614.0,368,2072.636617
-187.6,367,2075.179558
-5146.1,773,2096.553152
-5103.9,773,2115.366172
-617.7,367,2118.863127
-615.6,367,2122.934178
-622.8,367,2128.434777
-5040.7,772,2147.038831
-616.3,368,2150.385923
-188.3,367,2153.735728
-189.7,367,2156.311956
-5076.8,766,2176.144442
-610.9,367,2179.291556
-5069.0,767,2198.351133
-5080.9,767,2218.50968
-184.4,367,2222.241135
-185.6,367,2226.063157
-191.0,367,2228.916757
