#{"t_start": 1776557730.566679, "env_id": "None"}
r,l,t
-604.9,367,3.953074
-5214.4,772,23.355581
-604.7,367,27.011724
-5219.2,772,49.746404
-5220.0,772,70.051081
-5222.6,772,89.554046
-5219.8,772,109.58531
-190.9,367,112.996959
-5218.8,772,133.354008
-603.3,367,136.370409
-5219.2,772,158.340496
-190.1,367,161.920376
-602.3,367,165.471928
-185.9,367,169.291287
-185.1,367,174.29027
-5205.2,772,195.617602
-183.9,367,198.022076
-597.9,367,200.494617
-5200.2,772,220.699578
-184.9,367,224.559237
-5203.8,772,243.947947
-597.3,367,247.920079
-187.3,367,251.456788
-602.5,367,254.715496
-189.9,367,257.087564
-186.9,367,259.936261
-185.5,367,263.471951
-5215.4,772,286.065276
-193.1,367,289.913324
-608.3,367,293.224491
-609.5,367,296.282439
-5224.6,772,317.072097
-194.5,367,319.968923
-611.5,367,323.690226
-195.3,367,326.370223
-5226.6,772,348.397177
-193.7,367,352.090693
-193.7,367,354.595016
-5229.8,772,374.708288
-5232.4,772,396.053619
-193.5,367,399.153563
-607.1,367,401.807695
-191.3,367,405.609092
-610.9,367,409.677918
-609.1,367,415.295811
-192.3,367,419.200979
-5230.8,772,440.123442
-192.5,367,443.928868
-5230.8,772,461.222521
-609.3,367,464.305656
-192.7,367,468.223852
-609.5,367,472.284831
-5220.8,772,491.945138
-193.1,367,495.673941
-5226.0,772,517.000058
-609.9,367,521.006056
-612.3,367,525.1905
-611.3,367,530.665665
-192.7,367,534.473276
-5225.2,772,554.610879
-5224.4,772,575.717694
-607.7,367,578.450325
-611.3,367,581.647188
-608.3,367,585.810003
-192.7,367,589.731523
-610.9,367,593.810955
-5223.0,772,615.558298
-195.1,367,618.987346
-5223.4,772,640.183714
-195.3,367,644.069896
-191.7,367,646.994887
-196.1,367,649.329969
-610.5,367,653.348061
-610.5,367,657.122786
-192.1,367,659.454655
-609.9,367,662.682121
-193.5,367,666.176378
-194.9,367,669.396896
-606.3,367,672.033737
-611.1,367,674.638222
-193.3,367,678.467533
-5217.4,772,699.002174
-5222.4,772,719.687094
-191.3,367,723.674091
-605.3,367,729.394242
-189.7,367,733.044242
-605.7,367,736.744622
-602.7,367,739.243592
-186.9,367,741.802735
-607.7,367,746.239225
-5217.8,772,763.601644
-601.3,367,767.711299
-5213.6,772,789.364891
-5214.8,772,808.825987
-602.7,367,812.73692
-602.5,367,816.954439
-188.7,367,820.834697
-603.9,367,826.23051
-604.3,367,829.332631
-603.1,367,832.330878
-187.7,367,835.180017
-5212.4,772,855.185071
-189.3,367,857.671964
-190.3,367,860.08997
-188.1,367,863.268785
-5213.6,772,883.064808
-189.9,367,888.234134
-187.1,367,891.576906
-5210.8,772,913.077077
-186.1,367,916.81839
-5211.4,772,937.987654
-5213.2,772,958.418139
-5212.6,772,977.847959
-5217.6,772,999.425571
-600.9,367,1002.396442
-599.9,367,1005.527729
-189.1,367,1008.965956
