tls_id,timesteps,ep_rew_mean,ep_len_mean,value_loss,policy_gradient_loss,entropy_loss
A0,4096,,,,,
A0,8192,,,0.04276,-0.045142,-0.675978
A0,12288,,,0.050131,-0.035359,-0.62647
A0,16384,,,0.037799,-0.027228,-0.565308
A0,20480,,,0.037164,-0.024168,-0.501182
A0,24576,,,0.034882,-0.020321,-0.439939
A0,28672,,,0.035538,-0.016293,-0.384744
A0,32768,,,0.027025,-0.014923,-0.330906
A0,36864,,,0.024343,-0.013559,-0.280394
A0,40960,,,0.017012,-0.011709,-0.235168
A0,45056,,,0.018574,-0.008631,-0.199724
A0,49152,,,0.014837,-0.009051,-0.164813
A0,53248,,,0.014818,-0.005191,-0.141248
A0,57344,,,0.016164,-0.005915,-0.11426
A0,61440,,,0.018467,-0.004332,-0.094948
A0,65536,,,0.016411,-0.00266,-0.081075
A0,69632,,,0.020094,-0.0023,-0.066155
A0,73728,,,0.022336,-0.001836,-0.055399
A0,77824,,,0.021282,-0.001453,-0.04544
A0,81920,,,0.024989,-0.001453,-0.037095
A0,86016,,,0.025982,-0.000236,-0.035445
A0,90112,,,0.025503,-0.000956,-0.027777
A0,94208,,,0.027734,-0.000169,-0.0301
A0,98304,,,0.028916,-0.000444,-0.025638
A0,102400,,,0.02744,-0.000512,-0.019084
A0,106496,,,0.02632,-0.000534,-0.017192
A0,110592,,,0.030117,-0.000524,-0.01376
A0,114688,,,0.034058,-4e-05,-0.009794
A0,118784,,,0.032279,-0.000466,-0.007889
A0,122880,,,0.034611,-7.9e-05,-0.007459
A0,126976,,,0.033475,-0.000383,-0.006441
A0,131072,,,0.032238,-0.0,-0.00964
A0,135168,,,0.033836,-0.001139,-0.031573
A0,139264,,,0.033203,-0.000645,-0.027379
A0,143360,,,0.03353,-0.000782,-0.02568
A0,147456,,,0.028041,-0.000436,-0.015654
A0,151552,,,0.031339,-4.7e-05,-0.011357
A0,155648,,,0.034145,-0.000215,-0.009403
A0,159744,,,0.034006,-0.000133,-0.009121
A0,163840,,,0.027204,-0.000151,-0.00797
A0,167936,,,0.032549,-8.9e-05,-0.004102
A0,172032,,,0.035624,-9.4e-05,-0.003591
A0,176128,,,0.03571,-0.000106,-0.002733
A0,180224,,,0.03364,-0.00011,-0.005352
A0,184320,,,0.034781,0.0,-0.00264
A0,188416,,,0.032681,-5e-06,-0.004666
A0,192512,,,0.033168,5.8e-05,-0.007379
A0,196608,,,0.034904,-0.00033,-0.010877
A0,200704,,,0.032764,-0.000146,-0.011111
A0,204800,,,0.033779,7.5e-05,-0.015402
A0,208896,,,0.025879,7.1e-05,-0.0207
A0,212992,,,0.032762,-1.1e-05,-0.020695
A0,217088,,,0.03234,0.000247,-0.02644
A0,221184,,,0.033025,3e-06,-0.032218
A0,225280,,,0.035246,-0.000265,-0.025483
A0,229376,,,0.03084,0.000253,-0.071052
A0,233472,,,0.031896,-0.001654,-0.033682
A0,237568,,,0.032776,-0.001469,-0.035548
A0,241664,,,0.033201,-0.000335,-0.029685
A0,245760,,,0.030599,-0.000754,-0.028031
A0,249856,,,0.031927,-0.001415,-0.020577
A0,253952,,,0.032727,-0.000497,-0.009315
A0,258048,,,0.035168,-0.000683,-0.013112
A0,262144,,,0.031343,-0.00031,-0.007683
A0,266240,,,0.034703,-0.000162,-0.00591
A0,270336,,,0.02929,-0.000177,-0.004215
A0,274432,,,0.034784,-0.0,-0.002445
A0,278528,,,0.032334,-0.0,-0.014466
A0,282624,,,0.036288,-0.003798,-0.100349
A0,286720,,,0.038915,-0.004686,-0.076453
A0,290816,,,0.035883,-0.002961,-0.065164
A0,294912,,,0.029397,-0.001457,-0.055106
A0,299008,,,0.032344,-0.001633,-0.047716
A0,303104,,,0.034368,-0.002456,-0.035645
A0,307200,,,0.029623,-0.00052,-0.027086
A0,311296,,,0.031014,-0.000526,-0.02271
A0,315392,,,0.026536,-0.000267,-0.017535
A0,319488,,,0.027931,-0.000347,-0.01675
A0,323584,,,0.032035,-0.000448,-0.016696
A0,327680,,,0.031195,2e-06,-0.008093
A0,331776,,,0.033085,-0.000108,-0.007664
A0,335872,,,0.031515,2.7e-05,-0.007071
A0,339968,,,0.03274,5.8e-05,-0.03308
A0,344064,,,0.036512,-0.006868,-0.225697
A0,348160,,,0.029192,-0.007432,-0.183882
A0,352256,,,0.032007,-0.004845,-0.148201
A0,356352,,,0.031416,-0.004945,-0.123443
A0,360448,,,0.028957,-0.003252,-0.103611
A0,364544,,,0.023224,-0.002497,-0.085469
A0,368640,,,0.028057,-0.001957,-0.061664
A0,372736,,,0.025023,-0.001036,-0.060053
A0,376832,,,0.028222,-0.000783,-0.044473
A0,380928,,,0.032117,-0.001553,-0.043855
A0,385024,,,0.025918,-0.000593,-0.034017
A0,389120,,,0.031052,-0.000676,-0.027309
